2024-12-11T16:28:01.044774,STORJETH,0.00029910
2024-12-11T16:28:01.044777,BNBUSDT,706.93000000
2024-12-11T16:28:01.044781,VENBNB,0.14920000
2024-12-11T16:28:01.044783,YOYOBNB,0.00059800
2024-12-11T16:28:01.044786,POWRBNB,0.00385000
2024-12-11T16:28:01.044789,VENBTC,0.00013928
2024-12-11T16:28:01.044792,VENETH,0.00325194
2024-12-11T16:28:01.044795,KMDBTC,0.00000341
2024-12-11T16:28:01.044801,KMDETH,0.00020970
2024-12-11T16:28:01.044804,NULSBNB,0.01257000
2024-12-11T16:28:01.044807,RCNBTC,0.00000074
2024-12-11T16:28:01.044809,RCNETH,0.00037604
2024-12-11T16:28:01.044813,RCNBNB,0.00347300
2024-12-11T16:28:01.044816,NULSBTC,0.00000514
2024-12-11T16:28:01.044819,NULSETH,0.00051926
2024-12-11T16:28:01.044822,RDNBTC,0.00000447
2024-12-11T16:28:01.044824,RDNETH,0.00071530
2024-12-11T16:28:01.044827,RDNBNB,0.00623000
2024-12-11T16:28:01.044830,XMRBTC,0.00228700
2024-12-11T16:28:01.044833,XMRETH,0.04032000
2024-12-11T16:28:01.044836,DLTBNB,0.00240000
2024-12-11T16:28:01.044839,WTCBNB,0.00180500
2024-12-11T16:28:01.044842,DLTBTC,0.00000071
2024-12-11T16:28:01.044845,DLTETH,0.00016807
2024-12-11T16:28:01.044848,AMBBTC,0.00000010
2024-12-11T16:28:01.044851,AMBETH,0.00004100
2024-12-11T16:28:01.044854,AMBBNB,0.00068500
2024-12-11T16:28:01.044856,BCCETH,2.47246000
2024-12-11T16:28:01.044859,BCCUSDT,448.70000000
2024-12-11T16:28:01.044862,BCCBNB,54.29000000
2024-12-11T16:28:01.044865,BATBTC,0.00000285
2024-12-11T16:28:01.044868,BATETH,0.00010630
2024-12-11T16:28:01.044871,BATBNB,0.00183100
2024-12-11T16:28:01.044874,BCPTBTC,0.00000048
2024-12-11T16:28:01.044877,BCPTETH,0.00008181
2024-12-11T16:28:01.044880,BCPTBNB,0.00116200
2024-12-11T16:28:01.044883,ARNBTC,0.00000761
2024-12-11T16:28:01.044886,ARNETH,0.00029362
2024-12-11T16:28:01.044889,GVTBTC,0.00001792
2024-12-11T16:28:01.044892,GVTETH,0.00384600
2024-12-11T16:28:01.044895,CDTBTC,0.00000317
2024-12-11T16:28:01.044898,CDTETH,0.00005119
2024-12-11T16:28:01.044901,GXSBTC,0.00004581
